      Source      Cruise     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_none  Min_none  Max_none   SD_none  Avg_draft Min_draft Max_draft  SD_draft
    USSUB-DG       1986b   6100042   1986  105.0  105.0  105.0      4   76.85 -143.05   76.60   77.10 -143.10 -143.00     49     49966   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.08      0.17     17.92      2.11
    USSUB-DG       1986b   6100043   1986  105.0  105.0  105.0      4   77.27 -143.10   77.10   77.40 -143.10 -143.10     39     39176   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.95      0.00     22.38      2.41
    USSUB-DG       1986b   6100044   1986  105.0  105.0  105.0      4   77.75 -143.16   77.50   78.00 -143.20 -143.12     61     61464   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.18      0.00     19.93      2.51
    USSUB-DG       1986b   6100045   1986  105.0  105.0  105.0      4   78.25 -143.10   78.00   78.50 -143.20 -143.00     49     49952   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.37      0.00     26.25      2.67
    USSUB-DG       1986b   6100046   1986  105.0  105.0  105.0      4   78.70 -142.80   78.50   78.90 -143.00 -142.61     49     49970   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.54      0.00     34.04      3.70
    USSUB-DG       1986b   6100047   1986  105.0  105.0  105.0      4   79.15 -142.45   78.90   79.40 -142.60 -142.31     49     49974   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.66      0.16     32.58      3.17
    USSUB-DG       1986b   6100048   1986  105.0  105.0  105.0      4   79.55 -142.15   79.40   79.70 -142.30 -142.00     40     40215   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.94      0.00     28.97      2.75
    USSUB-DG       1986b   6100049   1986  105.0  105.0  105.0      4   80.00 -141.95   79.80   80.20 -142.10 -141.81     39     39877   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.29      0.00     32.61      3.51
    USSUB-DG       1986b   6100050   1986  105.0  105.0  105.0      4   80.75 -141.75   80.50   81.00 -141.80 -141.70     49     49912   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.03      0.00     26.30      2.81
    USSUB-DG       1986b   6100051   1986  105.0  105.0  105.0      4   81.20 -141.65   81.00   81.40 -141.70 -141.60     49     49973   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.50      0.14     22.07      2.39
    USSUB-DG       1986b   6100052   1986  105.0  105.0  105.0      4   81.65 -141.60   81.40   81.90 -141.60 -141.60     49     49972   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.16      0.40     22.01      2.86
    USSUB-DG       1986b   6100053   1986  105.0  105.0  105.0      4   82.17 -141.54   81.90   82.50 -141.60 -141.48     65     65231   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.97      0.01     24.74      2.53
    USSUB-DG       1986b   6100054   1986  105.0  105.0  105.0      4   82.67 -141.67   82.50   82.80 -141.70 -141.64     29     29855   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.37      0.28     25.11      2.97
    USSUB-DG       1986b   6100055   1986  105.0  105.0  105.0      4   84.35 -141.70   84.10   84.60 -141.70 -141.70     49     49921   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.68      0.00     25.25      3.28
    USSUB-DG       1986b   6100056   1986  105.0  105.0  105.0      4   84.80 -141.65   84.60   85.00 -141.70 -141.60     49     49972   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.90      0.00     26.05      2.60
