      Source    Campaign     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_frbrd Min_frbrd Max_frbrd  SD_frbrd Avg_thkns Min_thkns Max_thkns  SD_thkns
   ICESAT1-G          3d  11000039   2005  322.8  319.0  327.0     11   73.98 -158.72   73.76   74.25 -159.20 -158.04    118       697   -999.00   -999.00   -999.00   -999.00      0.25      0.00      0.96      0.17      1.32      0.00      7.83      1.40
   ICESAT1-G          3d  11000040   2005  316.8  299.0  324.0     11   74.36 -161.95   74.07   74.60 -162.50 -161.41    138       817   -999.00   -999.00   -999.00   -999.00      0.25      0.00      1.22      0.14      1.27      0.00     10.24      1.12
   ICESAT1-G          3d  11000041   2005  314.8  309.0  322.0     11   74.69 -166.93   74.45   74.95 -167.40 -166.21    108       641   -999.00   -999.00   -999.00   -999.00      0.17      0.00      0.58      0.07      0.55      0.00      4.14      0.45
   ICESAT1-G          3d  11000042   2005  322.9  319.0  327.0     11   74.96 -172.24   74.70   75.19 -172.86 -171.38    124       731   -999.00   -999.00   -999.00   -999.00      0.16      0.00      0.39      0.07      0.49      0.00      2.27      0.35
   ICESAT1-G          3d  11000043   2005  308.0  301.0  326.0     11   75.06 -177.41   74.83   75.30 -178.23 -176.80    107       631   -999.00   -999.00   -999.00   -999.00      0.16      0.00      0.36      0.07      0.47      0.00      2.01      0.32
   ICESAT1-G          3d  11000044   2005  318.6  313.0  326.0     11   75.07 -178.98   74.85   75.31 -179.52 -178.23    124       734   -999.00   -999.00   -999.00   -999.00      0.18      0.00      0.56      0.09      0.58      0.00      3.81      0.56
   ICESAT1-G          3d  11000045   2005  303.1  299.0  307.0     10   75.00  173.81   74.76   75.23  173.16  174.44     90       530   -999.00   -999.00   -999.00   -999.00      0.19      0.01      0.45      0.08      0.64      0.03      2.70      0.44
   ICESAT1-G          3d  11000046   2005  308.3  298.0  318.0     11   74.70  166.76   74.45   74.95  166.23  167.45    132       779   -999.00   -999.00   -999.00   -999.00      0.27      0.00      1.22      0.17      1.28      0.00      9.92      1.35
   ICESAT1-G          3d  11000047   2005  308.9  298.0  327.0     11   74.57  165.09   74.35   74.79  164.37  166.23     88       519   -999.00   -999.00   -999.00   -999.00      0.25      0.00      0.99      0.15      1.04      0.00      7.79      1.17
   ICESAT1-G          3d  11000048   2005  321.1  317.0  325.0     11   74.02  158.78   73.76   74.27  158.31  159.51    122       718   -999.00   -999.00   -999.00   -999.00      0.12      0.00      0.36      0.05      0.29      0.00      1.67      0.14
   ICESAT1-G          3d  11000049   2005  309.1  301.0  317.0     11   73.86  157.48   73.60   74.12  156.65  158.31    125       740   -999.00   -999.00   -999.00   -999.00      0.17      0.00      0.45      0.06      0.46      0.00      2.72      0.31
   ICESAT1-G          3d  11000050   2005  318.6  301.0  326.0     11   73.69  155.86   73.41   73.97  154.99  156.65    161       949   -999.00   -999.00   -999.00   -999.00      0.21      0.00      0.76      0.09      0.73      0.00      5.36      0.59
   ICESAT1-G          3d  11000051   2005  321.3  315.0  327.0     11   73.29  152.92   73.00   73.55  152.42  153.53    108       638   -999.00   -999.00   -999.00   -999.00      0.19      0.00      0.86      0.14      0.72      0.00      6.29      0.81
   ICESAT1-G          3d  11000052   2005  312.0  305.0  321.0     11   72.01 -143.19   71.72   72.28 -144.15 -142.42     97       573   -999.00   -999.00   -999.00   -999.00      0.30      0.00      2.00      0.21      1.98      0.00     17.91      1.96
   ICESAT1-G          3d  11000053   2005  317.6  307.0  324.0     11   73.26 -149.60   72.99   73.54 -150.30 -148.73    143       843   -999.00   -999.00   -999.00   -999.00      0.27      0.00      1.02      0.15      1.56      0.00      8.53      1.33
   ICESAT1-G          3d  11000054   2005  323.3  321.0  325.0     11   73.71 -152.69   73.48   73.96 -152.95 -152.41     87       512   -999.00   -999.00   -999.00   -999.00      0.25      0.00      0.90      0.15      1.34      0.00      7.34      1.26
   ICESAT1-G          3d  11000055   2005  315.0  310.0  322.0     11   74.28 -156.50   74.04   74.49 -156.85 -156.14     85       502   -999.00   -999.00   -999.00   -999.00      0.20      0.00      0.70      0.12      0.92      0.00      5.34      0.96
   ICESAT1-G          3d  11000056   2005  320.3  306.0  327.0     11   74.45 -158.18   74.17   74.69 -158.76 -157.58    107       631   -999.00   -999.00   -999.00   -999.00      0.25      0.00      1.03      0.15      1.33      0.00      8.45      1.23
